filename,title,author,year_started,year_finished,genre
10842.txt,«Так в этой комнате жилой...»,Николай Заболоцкий,1933,1933,poetry
10843.txt,Гурзуф ночью | «Для северных песен ненадобен юг...»,Николай Заболоцкий,1956,1956,poetry
10844.txt,"Венчание плодами | «Плоды Мичурина, питомцы садовода...»",Николай Заболоцкий,1932,1932,poetry
10845.txt,"«Читайте, деревья, стихи Гезиода...»",Николай Заболоцкий,1946,1946,poetry
10846.txt,"Лесное озеро | «Опять мне блеснула, окована сном...»",Николай Заболоцкий,1938,1938,poetry
10847.txt,Казбек | «С хевсурами после работы...»,Николай Заболоцкий,1957,1957,poetry
10848.txt,Город в степи | «Степным ветрам не писаны законы...»,Николай Заболоцкий,1947,1947,poetry
10849.txt,Учан-су | «Внимая собственному вою...»,Николай Заболоцкий,1953,1953,poetry
10850.txt,Подмосковные рощи | «Жучок ли точит древесину...»,Николай Заболоцкий,1958,1958,poetry
10851.txt,Шакалы | «Среди черноморских предгорий...»,Николай Заболоцкий,1954,1954,poetry
10852.txt,Поздняя весна | «Осветив черепицу на крыше...»,Николай Заболоцкий,1948,1948,poetry
10853.txt,"Воздушное путешествие | «В крылатом домике, высоко над землей...»",Николай Заболоцкий,1947,1947,poetry
10854.txt,Морская прогулка | «На сверкающем глиссере белом...»,Николай Заболоцкий,1956,1956,poetry
10855.txt,Приглашение на пир | «Когда обед был подан и на стол…»,Николай Заболоцкий,1933,1933,poetry
10856.txt,«Сквозь волшебный прибор Левенгука...»,Николай Заболоцкий,1948,1948,poetry
10857.txt,"Закон простоты | «Глядит, уныло увядая, ...»",Николай Заболоцкий,1928,1928,poetry
10858.txt,"Над морем | «Лишь запах чабреца, сухой и горьковатый...»",Николай Заболоцкий,1956,1956,poetry
10859.txt,"Испытание воли | «прошу садиться, выпить чаю...»",Николай Заболоцкий,1931,1931,poetry
10860.txt,«Во многом знании — немалая печаль...»,Николай Заболоцкий,1957,1957,poetry
10861.txt,В жилищах наших | « Мы тут живем умно и некрасиво...»,Николай Заболоцкий,1926,1926,poetry
10862.txt,Беседа о душе | «Ночь на воздух вылетает...»,Николай Заболоцкий,1931,1931,poetry
10863.txt,Свадьба | «Сквозь окна хлещет длинный луч...»,Николай Заболоцкий,1928,1928,poetry
10864.txt,Чертополох | «Принесли букет чертополоха...»,Николай Заболоцкий,1956,1956,poetry
10865.txt,Предатели | «Как? Распродать страну?! Чтоб под сапог германский...»,Николай Заболоцкий,1937,1937,poetry
10866.txt,Начало науки | «Когда полуночная птица...»,Николай Заболоцкий,1931,1931,poetry
10867.txt,Журавли | «Вылетев из Африки в апреле...»,Николай Заболоцкий,1948,1948,poetry
10868.txt,"Битва с предками | «Ночь гремела в бочки, в банки...»",Николай Заболоцкий,1931,1931,poetry
10869.txt,"Движущиеся повозки монголов | «Навстречу гостю, в зной и в холод...»",Николай Заболоцкий,1958,1958,poetry
10870.txt,"Читая стихи | «Любопытно, забавно и тонко...»",Николай Заболоцкий,1948,1948,poetry
10871.txt,Как было трудно разговаривать с монголами | «Еще не клеились беседы...»,Николай Заболоцкий,1958,1958,poetry
10872.txt,Осенний клен | «Осенний мир осмысленно устроен...»,Николай Заболоцкий,1955,1955,poetry
10873.txt,Завещание | «Когда на склоне лет иссякнет жизнь моя...»,Николай Заболоцкий,1947,1947,poetry
10874.txt,Поэма дождя | «Змея почтенная лесная...»,Николай Заболоцкий,1931,1931,poetry
10875.txt,Жена | «Откинув со лба шевелюру...»,Николай Заболоцкий,1948,1948,poetry
10876.txt,На рынке | «В уборе из цветов и крынок...»,Николай Заболоцкий,1927,1927,poetry
10877.txt,Ивановы | «Стоят чиновные деревья...»,Николай Заболоцкий,1928,1928,poetry
10878.txt,Метаморфозы | «Как мир меняется! И как я сам меняюсь!..»,Николай Заболоцкий,1937,1937,poetry
10879.txt,"Урал | «Зима. Огромная, просторная зима...»",Николай Заболоцкий,1947,1947,poetry
10880.txt,"«Все, что было в душе, все как будто опять потерялось...»",Николай Заболоцкий,1936,1936,poetry
10881.txt,"Бегство в Египет | «Ангел, дней моих хранитель...»",Николай Заболоцкий,1955,1955,poetry
10882.txt,Утренняя песня | «Могучий день пришел. Деревья встали прямо...»,Николай Заболоцкий,1932,1932,poetry
